Mac1,Mac2,peso
223801,223344,3
200574,206750,3
200574,206762,3
200683,208351,3
175586,200631,3
201394,198145,3
175586,200792,3
208351,213182,3
70383,200631,3
207134,177340,3
202012,208351,3
203474,200565,3
203474,200574,3
202863,202869,3
180693,224784,3
215254,225079,3
201011,134787,3
203065,210284,3
180215,218954,3
175996,183360,3
201011,200718,3
201011,201076,3
201011,203345,3
175996,149413,3
217471,213547,3
201011,201349,3
220957,219891,3
200574,213549,3
220966,211987,3
201394,203345,3
201528,212884,3
211404,203345,3
219273,208351,3
220956,221268,3
175996,218357,3
220956,221173,3
175996,219891,3
201002,219891,3
203199,203064,3
180693,222567,3
200574,217510,3
220956,219687,3
206584,206586,3
201002,208351,3
171149,200565,3
200597,208775,3
225737,200574,3
201011,208351,3
180874,200922,3
180874,192487,3
211370,200631,3
112671,208351,3
203045,207112,3
211370,185025,3
201019,177340,3
180874,190139,3
211370,183360,3
200574,212869,3
208351,215668,3
219891,158348,3
203474,202117,3
203474,201076,3
200597,205766,3
180874,200718,3
180874,180693,3
180874,180418,3
219856,219855,3
219261,183360,3
203655,201000,3
206895,215254,3
200574,210719,3
180874,173388,3
203474,209996,3
211370,215254,3
200574,211362,3
201434,200631,3
200580,203064,3
200574,212100,3
200810,200631,3
203655,200574,3
201544,201546,3
200591,200792,3
202150,183360,3
200574,203905,3
213385,134787,3
192466,200718,3
201234,200631,3
191320,200922,3
208883,205929,3
222468,208351,3
216324,222560,3
185025,201760,3
191320,200718,3
204030,201076,3
204030,200631,3
204030,200574,3
215915,208351,3
215720,213385,3
192466,218464,3
202117,206750,3
201718,208210,3
223229,178434,3
201145,205766,3
197210,202117,3
191320,200597,3
201234,183360,3
204231,156,3
191320,193794,3
197210,211790,3
191320,201145,3
2926,201167,3
204754,219891,3
184118,218557,3
222519,221268,3
222519,220270,3
222519,219891,3
201151,219891,3
137759,200922,3
137964,201151,3
208028,200898,3
213385,175812,3
212501,213385,3
201151,204231,3
204231,184251,3
137759,200631,3
191320,203329,3
137759,200597,3
137759,200565,3
204231,177340,3
137759,183360,3
213385,169904,3
185025,201539,3
204167,200718,3
210023,220956,3
191320,203752,3
201249,200876,3
201151,200565,3
191320,175974,3
201234,161696,3
137964,204754,3
212869,214291,3
197239,200631,3
197239,201737,3
201144,210060,3
202117,216324,3
2926,203345,3
201232,200718,3
201271,208351,3
183387,208028,3
201718,175996,3
201144,208775,3
213547,201641,3
204167,208351,3
183443,207791,3
201718,207112,3
202117,208028,3
213547,203838,3
213547,203863,3
213547,203995,3
201275,200718,3
137964,219861,3
185025,204167,3
201718,206762,3
207732,201263,3
204350,200718,3
137964,213385,3
216230,227995,3
137964,211790,3
191211,216324,3
204167,203750,3
183443,204567,3
183443,203905,3
191320,169904,3
209827,200631,3
201263,203345,3
183443,153988,3
202257,200631,3
209917,202623,3
201263,211201,3
204218,219891,3
227483,227995,3
213547,174011,3
204167,204755,3
213547,175974,3
135133,185025,3
213547,183360,3
207732,175812,3
201144,211362,3
137964,211370,3
210019,205766,3
192487,201076,3
204755,182021,3
185025,201151,3
142011,183360,3
191320,211790,3
208702,200631,3
221586,187533,3
191692,201539,3
201237,201641,3
202117,200792,3
202117,212077,3
213385,203033,3
201641,205929,3
191935,206755,3
185025,175812,3
191692,200574,3
184535,204755,3
201167,224784,3
212707,219891,3
204231,219687,3
184532,208351,3
201167,201298,3
2926,181555,3
204231,205929,3
184532,183443,3
185025,179679,3
185025,180693,3
201237,206494,3
185025,181555,3
204167,156,3
201749,200631,3
201167,204231,3
201167,204754,3
208702,202117,3
204231,209947,3
201167,213385,3
202117,175252,3
213385,215982,3
215809,200631,3
140185,183360,3
202117,169904,3
201718,213385,3
201167,219196,3
193895,201279,3
201167,220270,3
217064,201167,3
204231,213065,3
213385,209096,3
193794,202869,3
204231,208028,3
210060,205929,3
201167,208028,3
213385,208210,3
201167,204755,3
202117,200618,3
201237,177340,3
201349,203345,3
208702,175996,3
213385,201298,3
204231,200599,3
2926,200580,3
2926,200574,3
204064,200718,3
201234,203734,3
185025,200701,3
213385,183360,3
204231,201279,3
201641,200631,3
201641,200599,3
218373,201167,3
184219,219891,3
204167,177340,3
201718,215254,3
187533,205929,3
185025,200876,3
201713,204567,3
218728,213049,3
210144,210145,3
184219,200574,3
213385,180215,3
201718,215480,3
191320,215254,3
184219,190765,3
201234,201298,3
137759,202117,3
137759,204754,3
137759,204755,3
208702,156,3
185025,200597,3
201167,200585,3
201349,202863,3
201748,207732,3
201718,210136,3
201167,200580,3
213385,201002,3
202117,225026,3
201349,209096,3
137964,183360,3
202117,202579,3
184251,200898,3
212713,200631,3
212713,200922,3
213385,200718,3
201234,204350,3
201167,180693,3
201760,200636,3
191320,224754,3
202117,202765,3
201167,177936,3
201167,177340,3
207685,204755,3
201167,175996,3
213547,206494,3
212284,203692,3
193368,222519,3
202117,208971,3
156,202866,3
213547,215254,3
213547,222519,3
204381,200792,3
204381,200923,3
182801,206762,3
201718,202767,3
190765,221268,3
193368,217621,3
202379,207246,3
222807,219687,3
190765,219891,3
222814,222807,3
201279,211199,3
202379,200631,3
190765,216324,3
193368,183360,3
156,203345,3
185025,220270,3
202117,209712,3
185025,213385,3
203995,212077,3
210284,207791,3
213547,213686,3
222807,180215,3
201718,202117,3
204384,225333,3
209728,204567,3
222814,201583,3
135386,203033,3
190765,183360,3
190805,222807,3
185025,211864,3
185025,218373,3
204754,202579,3
209989,200582,3
202379,200718,3
185025,211790,3
207377,206253,3
207377,194870,3
201349,200565,3
137964,222560,3
201349,175252,3
221268,218954,3
190765,222560,3
201144,202579,3
201349,169904,3
185025,208907,3
201299,201076,3
204754,203210,3
204167,211240,3
134787,200785,3
201144,200582,3
185025,213547,3
204754,200792,3
192792,188751,3
183360,175974,3
221268,209096,3
204381,203329,3
201718,200582,3
207750,203734,3
185025,205998,3
207732,204755,3
223372,198145,3
204754,200714,3
201279,198145,3
201349,200792,3
183360,216201,3
216170,216637,3
208891,201275,3
201279,175252,3
204350,203418,3
207750,202579,3
201144,204754,3
227237,227995,3
204350,203064,3
204167,210026,3
135386,200582,3
134787,200582,3
185025,217495,3
201718,200963,3
208020,204567,3
222807,202117,3
201718,200922,3
182808,207504,3
207732,213584,3
185025,213549,3
198145,200718,3
190765,213385,3
204754,211240,3
202389,200631,3
221268,212100,3
143110,200922,3
190765,215254,3
156,202117,3
193368,220270,3
222814,203886,3
221268,213385,3
138239,200631,3
203995,209096,3
190805,145398,3
203151,202579,2
218464,200718,2
200941,201167,2
219687,208028,2
206667,203345,2
203065,205763,2
203065,205431,2
203065,204754,2
206668,204567,2
219687,219343,2
209977,200565,2
206822,202765,2
137964,175812,2
200941,202241,2
202379,186637,2
219687,175974,2
225921,147912,2
207750,175252,2
209898,208020,2
201224,219891,2
215974,201234,2
137964,190765,2
203148,210065,2
203065,206762,2
200899,198612,2
200899,200582,2
206679,202866,2
200899,200597,2
200899,200631,2
170474,208971,2
200941,181555,2
200941,137759,2
207750,200597,2
200899,200963,2
200899,201030,2
219687,145672,2
209898,204567,2
219687,205766,2
225925,225917,2
170756,200837,2
219687,204567,2
225921,219891,2
219687,203062,2
170750,202306,2
219687,202117,2
201234,206142,2
201234,205998,2
137964,181555,2
225925,172913,2
137964,184219,2
209896,207112,2
215974,184219,2
215116,215119,2
200899,169904,2
215116,215089,2
225925,216324,2
203065,204567,2
215974,175996,2
209894,221808,2
170774,211517,2
228117,203886,2
200848,203345,2
171149,203971,2
171149,203682,2
200848,211198,2
201234,216828,2
203186,219891,2
171149,200574,2
137964,54225,2
200852,179269,2
