Mac1,Mac2,peso
178518,184204,2
171149,170453,2
171149,169729,2
178518,184054,2
169245,170993,2
171149,169837,2
169729,178446,2
146452,194321,2
169980,184906,2
169729,179082,2
133740,169729,2
169061,169343,2
191319,186738,2
169729,169647,2
172260,187377,2
146575,169961,2
171149,198402,2
169729,180404,2
133625,171393,2
181657,169023,2
178518,177395,2
178518,179235,2
171150,169103,2
184668,184669,2
169061,169108,2
171150,169023,2
169061,169103,2
197165,197091,2
178518,178423,2
169061,169249,2
171150,169459,2
169729,179173,2
169729,179389,2
176659,172848,2
169729,183164,2
180722,193495,2
178518,175325,2
170581,169256,2
189480,170993,2
178518,175766,2
169061,169037,2
169061,169256,2
171150,170096,2
190575,190112,2
171150,169960,2
178518,179429,2
197160,197091,2
185702,179628,2
174667,171974,2
169061,145014,2
169061,169826,2
181647,181646,2
185709,180268,2
169061,170101,2
177605,172008,2
169061,137861,2
133791,178518,2
169061,138325,2
182467,135827,2
173067,169006,2
169729,188463,2
169061,170293,2
169729,188297,2
169061,139108,2
171148,143452,2
182467,173298,2
173086,187377,2
169729,188270,2
184683,179235,2
178518,138522,2
174642,172666,2
189466,177857,2
169729,171955,2
181639,181640,2
173957,169075,2
169729,171781,2
178518,186377,2
170562,169249,2
171161,184479,2
169729,189132,2
174684,169075,2
178518,186082,2
171161,183576,2
169729,188847,2
174684,168997,2
195411,190409,2
169729,172374,2
170562,174671,2
169201,170250,2
169061,169904,2
184683,175996,2
172280,147133,2
191320,175996,2
191320,177588,2
183880,181953,2
178518,169659,2
178518,169718,2
182467,187093,2
178518,169760,2
178518,169766,2
178518,169836,2
173086,175325,2
169061,169852,2
178518,184774,2
178518,169958,2
172280,170164,2
182490,135431,2
169729,175738,2
178518,170096,2
172280,178468,2
175970,172191,2
171161,169847,2
183876,180268,2
189507,176476,2
171148,170096,2
171148,170993,2
178518,169012,2
178518,169023,2
146799,194321,2
191320,188272,2
186631,175252,2
178518,169381,2
186631,170096,2
191320,181018,2
182467,181271,2
169061,169891,2
178518,169103,2
173067,181925,2
172257,170993,2
183193,180473,2
169718,176838,2
169248,133865,2
189659,175325,2
184776,172961,2
189659,183036,2
177588,163064,2
192590,182918,2
169295,170096,2
186853,181462,2
177588,169037,2
189659,180888,2
177588,169103,2
173195,178005,2
177588,169381,2
171264,172209,2
169291,187245,2
171264,170993,2
193983,169961,2
175766,186691,2
177588,169718,2
169037,169023,2
177588,169954,2
169037,169284,2
169037,169718,2
169291,178518,2
179637,181901,2
172070,171955,2
175773,173254,2
177588,170096,2
169659,169075,2
169659,169171,2
177588,170293,2
169037,169954,2
174838,170747,2
170018,152729,2
182727,180268,2
171286,134689,2
171286,179429,2
169300,169256,2
182727,179192,2
182727,178968,2
171286,175252,2
182727,175483,2
192571,192192,2
169654,191657,2
183627,169103,2
173813,175970,2
171286,169105,2
182727,152729,2
171286,138325,2
173204,191328,2
183630,183619,2
179628,181304,2
169299,170096,2
170471,170507,2
189659,191307,2
173204,186999,2
180901,180343,2
184781,169249,2
181515,181462,2
173813,177124,2
169654,195820,2
176839,169849,2
177588,137849,2
169654,196150,2
184776,185284,2
169036,169023,2
169037,169961,2
169659,169963,2
169037,170096,2
169284,180787,2
175790,171287,2
193967,169729,2
177588,178518,2
172097,179429,2
169659,187795,2
181537,148054,2
169284,186631,2
172100,192334,2
173165,181925,2
170005,186060,2
179660,179665,2
181537,181550,2
192629,192640,2
173165,176301,2
183698,171286,2
184774,181881,2
169037,182471,2
183698,175325,2
169284,178468,2
173165,172280,2
169661,183036,2
170005,185651,2
177588,181304,2
169284,175770,2
183698,183036,2
182670,194858,2
183698,184204,2
169037,183334,2
184769,178468,2
172107,172103,2
177588,178446,2
175790,170096,2
174803,187795,2
169037,179429,2
169659,170562,2
177588,171168,2
177588,171286,2
177588,171289,2
149200,170993,2
178600,169243,2
180886,169836,2
169289,169576,2
177588,172666,2
170015,171077,2
188169,191835,2
185595,190139,2
170015,170187,2
197579,197676,2
170015,170096,2
174817,169023,2
149034,187819,2
177588,175698,2
169289,169302,2
193967,194431,2
193967,194421,2
193967,194382,2
188174,186032,2
173173,179387,2
172089,169075,2
177588,175996,2
172089,172666,2
171253,184468,2
184769,190112,2
169654,189716,2
173813,175302,2
169284,169688,2
169031,169459,2
190407,169061,2
169303,169061,2
173237,169904,2
186931,178518,2
169654,170453,2
182752,182751,2
169025,177422,2
172008,184277,2
82039,171161,2
176869,190780,2
170453,169075,2
150063,169075,2
170453,169826,2
169654,173298,2
185524,172538,2
150063,181304,2
184798,171286,2
192558,168999,2
192558,175252,2
179574,174671,2
182741,181925,2
188101,178968,2
170453,176838,2
190407,186386,2
192558,178468,2
173813,169284,2
190407,187377,2
190407,187795,2
192558,191307,2
190407,189682,2
169303,169144,2
169303,169836,2
170029,170986,2
171324,128170,2
170448,189430,2
169303,176476,2
178705,176993,2
177541,188270,2
197758,181727,2
178705,139666,2
171324,139636,2
169654,169023,2
180945,193786,2
171324,137480,2
170032,187177,2
171324,135431,2
186932,187748,2
169303,173813,2
180945,170993,2
186932,169729,2
190407,125047,2
170450,169891,2
169303,172666,2
172003,170096,2
150063,186032,2
171324,156,2
170032,177410,2
170450,171286,2
173237,172712,2
150063,183036,2
169303,170096,2
169654,169960,2
169025,169904,2
169654,169997,2
169034,168997,2
173813,169659,2
190407,190112,2
189673,189672,2
149846,194321,2
169654,184769,2
178661,175365,2
89946,177296,2
197686,178468,2
170459,170187,2
169302,169440,2
169302,169105,2
89946,178459,2
89946,178468,2
188119,175997,2
173220,169440,2
175742,172666,2
183622,179387,2
169654,186741,2
173813,169775,2
170459,170567,2
175742,189716,2
89946,186386,2
169034,183332,2
180909,190139,2
89946,187795,2
176847,173813,2
173216,134076,2
182727,181598,2
173813,175252,2
182727,180880,2
171286,184263,2
169300,173813,2
192571,125047,2
175739,176838,2
197686,197277,2
183622,152729,2
171289,169729,2
189694,179387,2
195118,182785,2
189694,178468,2
169034,169371,2
171296,171106,2
173813,169904,2
182735,182093,2
171296,169302,2
188107,171286,2
169654,180268,2
169302,171287,2
169034,171286,2
173813,170976,2
197695,197696,2
173813,171140,2
176856,170096,2
184797,148813,2
173813,171287,2
174849,187377,2
89946,169255,2
169302,170075,2
173813,172191,2
169302,169904,2
195123,178468,2
178661,182093,2
169302,169810,2
89946,170562,2
170459,169459,2
194014,170993,2
170507,170488,2
177588,182962,2
175903,170993,2
125047,195613,2
147627,181110,2
171196,169766,2
125047,194788,2
189568,190994,2
125047,194897,2
172191,175252,2
184726,175575,2
177588,193066,2
197354,192165,2
185645,169440,2
169718,187377,2
192744,190139,2
185645,170993,2
169052,173813,2
189568,170993,2
171196,170096,2
197342,178468,2
169718,190112,2
189568,169023,2
177588,193418,2
169720,169510,2
174723,183084,2
178518,197145,2
169265,175662,2
169052,175970,2
195351,173298,2
125047,198132,2
177588,193643,2
169052,176563,2
175877,175325,2
125047,194584,2
171196,170993,2
125047,193014,2
185640,197223,2
181576,175325,2
170005,169720,2
170005,169571,2
170005,169510,2
171196,183036,2
171196,181707,2
169718,179192,2
192724,184479,2
169718,179429,2
169718,180384,2
169718,180417,2
191392,149869,2
170005,169006,2
192724,193418,2
125047,193738,2
188296,147133,2
171196,175325,2
171196,175272,2
177588,192234,2
177588,192714,2
182565,182519,2
171196,172376,2
177588,192739,2
178531,169718,2
195328,152176,2
191382,183457,2
191382,125047,2
195328,175252,2
177588,192808,2
172191,169075,2
169720,180427,2
178518,194321,2
170002,175520,2
192795,178468,2
189538,189584,2
169256,169826,2
173090,183354,2
175891,187377,2
128170,181889,2
169729,135431,2
175893,169075,2
173916,177588,2
184698,180203,2
197277,196218,2
169255,179387,2
169255,175278,2
188348,188347,2
191328,190139,2
171168,182962,2
186691,175252,2
182517,174144,2
175900,175252,2
173090,175252,2
132441,168997,2
169729,169047,2
180774,178539,2
178518,189032,2
169249,169105,2
169061,156,2
169729,169255,2
175903,169061,2
169729,169256,2
169729,169284,2
