mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
64:89:9A:95:66:9A,27.0,0.0,0.0,3.7037037037,25.9259259259,51.8518518519,18.5185185185,0.25,27
CC:3A:61:80:D5:31,27.0,0.0,0.0,22.2222222222,59.2592592593,14.8148148148,3.7037037037,0.25,27
A8:06:00:BB:1D:5C,26.0,0.0,0.0,0.0,0.0,61.5384615385,38.4615384615,0.25,26
9C:E6:E7:24:A5:F0,25.0,50.0,0.0,8.0,32.0,32.0,28.0,0.25,125
A0:82:1F:77:44:80,25.0,0.0,0.0,8.0,16.0,36.0,40.0,0.839285714286,504
3C:CB:7C:6C:D1:74,25.0,0.0,0.0,12.0,20.0,36.0,16.0,0.25,70
00:E3:B2:55:8E:40,25.0,0.0,0.0,16.0,12.0,32.0,36.0,0.25,58
B4:EF:39:02:02:AB,25.0,0.0,0.0,12.0,32.0,56.0,0.0,0.25,32
A8:7C:01:91:D8:E2,24.0,40.0,0.0,4.16666666667,12.5,58.3333333333,25.0,0.25,28
24:DB:ED:09:AF:2B,24.0,0.0,0.0,4.16666666667,4.16666666667,33.3333333333,58.3333333333,0.25,32
34:31:11:A1:7B:29,24.0,0.0,0.0,4.16666666667,62.5,25.0,8.33333333333,0.25,24
2C:54:CF:CD:74:67,24.0,50.0,0.0,16.6666666667,29.1666666667,37.5,16.6666666667,0.25,65
20:A9:9B:29:BB:10,23.0,0.0,0.0,13.0434782609,21.7391304348,17.3913043478,34.7826086957,0.25,83
7C:C5:37:3A:2E:B7,23.0,0.0,0.0,17.3913043478,30.4347826087,13.0434782609,30.4347826087,0.25,23
48:59:29:A0:F9:F3,23.0,0.0,0.0,8.69565217391,30.4347826087,21.7391304348,39.1304347826,0.25,66
D8:E5:6D:EA:36:07,22.0,20.0,0.0,40.9090909091,36.3636363636,0.0,22.7272727273,0.25,72
D4:20:6D:DD:C2:88,22.0,0.0,0.0,0.0,36.3636363636,50.0,13.6363636364,0.25,22
24:0A:64:A9:64:47,22.0,0.0,0.0,22.7272727273,31.8181818182,45.4545454545,0.0,0.25,22
B8:4F:D5:EC:EE:07,22.0,0.0,31.8181818182,0.0,0.0,0.0,31.8181818182,0.25,36
94:01:C2:BC:EB:AD,22.0,0.0,0.0,9.09090909091,45.4545454545,22.7272727273,22.7272727273,0.25,111
9C:AD:97:34:55:23,22.0,0.0,0.0,9.09090909091,31.8181818182,45.4545454545,13.6363636364,0.25,100
B4:3A:28:FC:3D:9C,22.0,0.0,0.0,9.09090909091,31.8181818182,45.4545454545,13.6363636364,0.25,94
D4:93:98:92:71:68,22.0,0.0,0.0,0.0,22.7272727273,68.1818181818,9.09090909091,0.5,201
B4:3A:28:78:BE:B7,22.0,0.0,0.0,4.54545454545,22.7272727273,45.4545454545,27.2727272727,0.25,133
B0:10:41:7E:8D:DD,21.0,0.0,0.0,4.7619047619,38.0952380952,38.0952380952,19.0476190476,0.25,44
60:8F:5C:0D:50:14,21.0,0.0,0.0,9.52380952381,23.8095238095,52.380952381,14.2857142857,0.25,21
20:A9:9B:2A:43:9C,21.0,0.0,0.0,4.7619047619,19.0476190476,76.1904761905,0.0,0.25,73
10:08:B1:FB:AE:20,21.0,0.0,0.0,0.0,42.8571428571,47.619047619,9.52380952381,0.25,21
84:55:A5:2F:8C:92,21.0,0.0,0.0,4.7619047619,33.3333333333,38.0952380952,23.8095238095,0.25,47
F4:E3:FB:4B:6E:F3,21.0,0.0,0.0,9.52380952381,52.380952381,38.0952380952,0.0,0.25,42
B0:10:41:39:17:BB,21.0,0.0,0.0,4.7619047619,19.0476190476,71.4285714286,4.7619047619,0.25,21
F0:E7:7E:C9:BC:34,21.0,0.0,0.0,14.2857142857,19.0476190476,33.3333333333,33.3333333333,0.25,107
F8:DF:A8:5D:DB:01,21.0,0.0,0.0,4.7619047619,23.8095238095,42.8571428571,28.5714285714,0.25,36
