mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
AC:E0:10:A5:01:5E,41.0,0.0,0.0,24.3902439024,24.3902439024,36.5853658537,14.6341463415,0.25,41
40:B0:FA:AA:9C:87,41.0,0.0,0.0,36.5853658537,43.9024390244,19.512195122,0.0,0.25,207
C0:BD:D1:0F:74:DF,41.0,0.0,0.0,17.0731707317,19.512195122,43.9024390244,14.6341463415,0.25,41
78:C3:E9:D7:A4:08,41.0,0.0,0.0,31.7073170732,36.5853658537,31.7073170732,0.0,0.25,149
94:01:C2:A1:10:CF,41.0,0.0,0.0,12.1951219512,21.9512195122,24.3902439024,31.7073170732,0.25,41
94:01:C2:C4:0A:E7,41.0,0.0,0.0,17.0731707317,21.9512195122,46.3414634146,14.6341463415,0.25,82
E0:DB:10:1E:4C:FD,41.0,0.0,0.0,29.2682926829,39.0243902439,31.7073170732,0.0,0.25,423
28:5A:EB:32:F2:F3,41.0,0.0,0.0,24.3902439024,46.3414634146,17.0731707317,12.1951219512,0.263020833333,128
84:63:D6:ED:8A:C8,41.0,0.0,0.0,9.75609756098,31.7073170732,31.7073170732,26.8292682927,0.25,41
38:2D:E8:4D:70:7C,41.0,0.0,0.0,21.9512195122,14.6341463415,60.9756097561,2.43902439024,0.25,48
44:6D:6C:F2:A9:2F,41.0,0.0,0.0,2.43902439024,29.2682926829,26.8292682927,36.5853658537,0.289682539683,42
40:6F:2A:72:BE:03,40.0,18.1818181818,0.0,25.0,27.5,37.5,10.0,0.25,51
84:DB:AC:73:48:4F,40.0,0.0,0.0,15.0,37.5,30.0,17.5,0.25,40
EC:CB:30:95:BC:C5,40.0,0.0,10.0,2.5,0.0,15.0,42.5,0.25,40
10:D3:8A:2A:58:89,40.0,0.0,20.0,5.0,7.5,7.5,17.5,0.25,109
C4:9A:02:76:BE:01,40.0,38.8888888889,0.0,10.0,40.0,20.0,30.0,0.25,48
68:A8:6D:C7:39:92,40.0,0.0,0.0,25.0,20.0,42.5,12.5,0.25,40
50:A7:2B:7D:19:A2,40.0,0.0,15.0,10.0,15.0,12.5,17.5,0.25,63
1C:66:AA:F1:62:B5,40.0,0.0,0.0,35.0,30.0,25.0,10.0,0.25,40
88:30:8A:4E:E8:79,40.0,0.0,5.0,15.0,25.0,52.5,2.5,0.25,40
C8:D1:0B:54:17:6A,40.0,0.0,2.5,30.0,35.0,32.5,0.0,0.253097893432,538
B4:52:7E:90:6A:79,39.0,100.0,0.0,0.0,25.641025641,35.8974358974,38.4615384615,0.25,39
88:9B:39:03:5B:A6,39.0,0.0,7.69230769231,12.8205128205,15.3846153846,58.9743589744,5.12820512821,0.25,49
E0:19:1D:9E:E6:6A,39.0,0.0,0.0,33.3333333333,30.7692307692,23.0769230769,10.2564102564,0.25,70
A8:FA:D8:D6:CE:7F,39.0,0.0,0.0,15.3846153846,25.641025641,28.2051282051,30.7692307692,0.291152263374,81
64:5A:04:AE:04:74,39.0,37.5,0.0,28.2051282051,38.4615384615,28.2051282051,5.12820512821,0.25,39
50:C8:E5:EA:A9:E3,39.0,0.0,7.69230769231,20.5128205128,23.0769230769,12.8205128205,10.2564102564,0.25,48
F4:37:B7:48:87:BB,39.0,0.0,5.12820512821,30.7692307692,25.641025641,20.5128205128,17.9487179487,0.25,39
1C:99:4C:F8:ED:93,39.0,0.0,5.12820512821,28.2051282051,28.2051282051,28.2051282051,10.2564102564,0.25,61
DC:3E:F8:58:12:94,39.0,0.0,0.0,17.9487179487,30.7692307692,33.3333333333,17.9487179487,0.25,39
90:B6:86:42:8B:2D,39.0,0.0,7.69230769231,48.7179487179,28.2051282051,12.8205128205,2.5641025641,0.25,54
00:73:E0:71:87:6A,39.0,0.0,0.0,30.7692307692,28.2051282051,30.7692307692,10.2564102564,0.25,95
D8:9E:3F:A1:88:32,39.0,0.0,0.0,12.8205128205,35.8974358974,41.0256410256,10.2564102564,0.25,100
84:8E:0C:36:1B:BA,39.0,0.0,0.0,10.2564102564,48.7179487179,20.5128205128,20.5128205128,0.25,39
00:0C:E7:A6:08:53,38.0,100.0,5.26315789474,36.8421052632,15.7894736842,21.0526315789,15.7894736842,0.25,59
F8:CF:C5:54:26:DA,38.0,0.0,2.63157894737,47.3684210526,34.2105263158,15.7894736842,0.0,0.25,67
6C:40:08:35:09:BE,38.0,0.0,2.63157894737,0.0,0.0,7.89473684211,47.3684210526,0.25,38
90:00:DB:1B:BD:3B,38.0,0.0,0.0,18.4210526316,57.8947368421,23.6842105263,0.0,0.282299741602,258
9C:C1:72:07:52:62,38.0,0.0,0.0,28.9473684211,55.2631578947,15.7894736842,0.0,0.25,38
50:9E:A7:71:19:48,38.0,0.0,13.1578947368,21.0526315789,15.7894736842,13.1578947368,18.4210526316,0.25,76
40:F3:08:4C:C0:80,38.0,0.0,0.0,39.4736842105,26.3157894737,31.5789473684,0.0,0.25,73
3C:BB:FD:38:72:95,38.0,0.0,0.0,26.3157894737,28.9473684211,34.2105263158,10.5263157895,0.25,38
2C:AE:2B:82:94:45,38.0,0.0,0.0,36.8421052632,52.6315789474,10.5263157895,0.0,0.25,113
04:F7:E4:6E:4D:73,38.0,0.0,0.0,15.7894736842,21.0526315789,36.8421052632,23.6842105263,0.25,38
34:4D:F7:19:58:00,37.0,0.0,2.7027027027,43.2432432432,32.4324324324,5.40540540541,0.0,0.25,38
48:74:6E:94:A4:F7,37.0,0.0,0.0,13.5135135135,35.1351351351,43.2432432432,8.10810810811,0.25,37
04:1B:BA:F0:87:46,37.0,0.0,16.2162162162,21.6216216216,29.7297297297,16.2162162162,8.10810810811,0.25,64
64:76:BA:57:15:08,37.0,0.0,0.0,16.2162162162,45.9459459459,27.027027027,10.8108108108,0.25,37
B0:C5:59:1F:91:64,37.0,0.0,5.40540540541,0.0,10.8108108108,43.2432432432,29.7297297297,0.25,68
B0:47:BF:FB:5C:34,37.0,0.0,0.0,18.9189189189,29.7297297297,35.1351351351,16.2162162162,0.25,71
64:6C:B2:2C:34:03,37.0,0.0,0.0,24.3243243243,59.4594594595,16.2162162162,0.0,0.25,50
B4:18:D1:6B:46:A8,37.0,0.0,0.0,5.40540540541,24.3243243243,45.9459459459,24.3243243243,0.25,37
0C:3E:9F:B3:D7:6C,37.0,0.0,2.7027027027,16.2162162162,35.1351351351,27.027027027,18.9189189189,0.25,37
88:53:D4:87:DE:20,37.0,0.0,2.7027027027,10.8108108108,29.7297297297,37.8378378378,16.2162162162,0.25,37
6C:40:08:5B:4F:5D,37.0,0.0,0.0,8.10810810811,24.3243243243,48.6486486486,18.9189189189,0.25,37
D0:A6:37:B9:13:E8,37.0,0.0,0.0,21.6216216216,32.4324324324,37.8378378378,8.10810810811,0.33547008547,39
60:8F:5C:0D:4F:A0,37.0,0.0,0.0,45.9459459459,21.6216216216,32.4324324324,0.0,0.25,83
10:68:3F:F3:EC:55,37.0,0.0,10.8108108108,13.5135135135,29.7297297297,24.3243243243,16.2162162162,0.25,299
A4:70:D6:FE:E8:B9,37.0,0.0,2.7027027027,32.4324324324,35.1351351351,10.8108108108,13.5135135135,0.25,128
08:EC:A9:45:F3:BD,36.0,0.0,2.77777777778,41.6666666667,33.3333333333,22.2222222222,0.0,0.25,280
18:AF:61:59:7D:8A,36.0,0.0,0.0,11.1111111111,44.4444444444,36.1111111111,8.33333333333,0.25,36
E8:B4:C8:96:BA:2B,36.0,0.0,0.0,41.6666666667,38.8888888889,19.4444444444,0.0,0.25,198
34:C0:59:EC:0A:0F,36.0,0.0,2.77777777778,8.33333333333,30.5555555556,27.7777777778,30.5555555556,0.268115942029,92
C8:33:4B:26:14:95,36.0,0.0,0.0,2.77777777778,47.2222222222,36.1111111111,13.8888888889,0.25,36
48:D7:05:77:15:78,36.0,0.0,0.0,0.0,0.0,36.1111111111,63.8888888889,0.25,36
CC:3A:61:71:97:38,36.0,0.0,5.55555555556,44.4444444444,38.8888888889,11.1111111111,0.0,0.25,128
DC:9B:9C:54:66:28,36.0,0.0,13.8888888889,38.8888888889,30.5555555556,13.8888888889,2.77777777778,0.25,36
FC:F8:AE:99:5B:BA,36.0,20.0,0.0,8.33333333333,13.8888888889,44.4444444444,33.3333333333,0.25,36
B0:45:19:76:37:EB,36.0,0.0,2.77777777778,25.0,27.7777777778,33.3333333333,11.1111111111,0.25,90
A0:99:9B:72:D2:D6,36.0,100.0,0.0,38.8888888889,38.8888888889,22.2222222222,0.0,0.25,36
84:8E:DF:A6:88:6B,36.0,0.0,0.0,5.55555555556,19.4444444444,44.4444444444,25.0,0.25,80
64:B8:53:F9:E0:9B,36.0,0.0,8.33333333333,16.6666666667,16.6666666667,33.3333333333,19.4444444444,0.25,48
40:A6:D9:0B:E6:6D,35.0,0.0,0.0,11.4285714286,37.1428571429,37.1428571429,14.2857142857,0.458333333333,40
0C:48:85:FF:88:A0,35.0,0.0,0.0,34.2857142857,48.5714285714,17.1428571429,0.0,0.25,69
84:8E:0C:3E:9A:CD,35.0,0.0,0.0,11.4285714286,11.4285714286,25.7142857143,51.4285714286,0.25,47
2C:BE:08:97:33:12,35.0,0.0,0.0,0.0,17.1428571429,51.4285714286,31.4285714286,0.296296296296,36
B0:E0:3C:6C:7B:5E,35.0,0.0,0.0,8.57142857143,28.5714285714,34.2857142857,28.5714285714,0.25,67
A0:ED:CD:7B:3B:AF,35.0,0.0,0.0,0.0,14.2857142857,37.1428571429,48.5714285714,0.25,35
40:E2:30:9B:D8:CD,35.0,0.0,0.0,60.0,40.0,0.0,0.0,0.25,55
0C:77:1A:91:5B:1B,35.0,100.0,0.0,0.0,28.5714285714,48.5714285714,22.8571428571,0.25,35
C0:11:73:AB:DC:DF,35.0,0.0,0.0,14.2857142857,51.4285714286,28.5714285714,5.71428571429,0.25,68
1C:8E:5C:DF:3E:EB,35.0,0.0,34.2857142857,0.0,0.0,0.0,20.0,0.27380952381,70
C4:05:28:CC:EA:D1,34.0,0.0,0.0,2.94117647059,35.2941176471,47.0588235294,14.7058823529,0.25,67
20:55:31:F4:0C:2C,34.0,0.0,5.88235294118,38.2352941176,23.5294117647,23.5294117647,8.82352941176,0.25,63
8C:C5:E1:A3:F4:49,34.0,0.0,0.0,20.5882352941,29.4117647059,32.3529411765,17.6470588235,0.25,34
84:8E:DF:A6:61:60,34.0,0.0,0.0,8.82352941176,32.3529411765,29.4117647059,26.4705882353,0.25,34
80:6C:1B:25:14:CB,34.0,0.0,0.0,38.2352941176,29.4117647059,14.7058823529,17.6470588235,0.25,34
