mac_usr,avg_monthly_conections,[0:00-3:59](%),[4:00-7:59](%),[8:00-11:59](%),[12:00-15:59](%),[16:00-19:59](%),[20:00-23:59](%),diversidad,cant_conexiones
D0:92:9E:12:D8:50,25.0,100.0,0.0,0.0,36.0,52.0,12.0,0.388888888889,96
C4:9A:02:4B:2E:BA,25.0,0.0,0.0,12.0,12.0,12.0,20.0,0.25,46
F8:84:F2:11:39:84,25.0,0.0,0.0,8.0,24.0,36.0,32.0,0.25,82
B0:35:8D:07:C5:A7,24.0,0.0,0.0,16.6666666667,62.5,20.8333333333,0.0,0.275062656642,133
0C:C6:6A:0A:16:64,24.0,33.3333333333,0.0,20.8333333333,41.6666666667,29.1666666667,8.33333333333,0.25,47
40:0E:85:15:56:6E,24.0,0.0,0.0,37.5,50.0,8.33333333333,4.16666666667,0.471893491124,338
40:0E:85:58:C8:4C,24.0,0.0,0.0,8.33333333333,33.3333333333,37.5,16.6666666667,0.25,70
D0:22:BE:DA:E7:3D,24.0,0.0,0.0,8.33333333333,33.3333333333,45.8333333333,12.5,0.378205128205,26
0C:84:DC:9F:98:F5,24.0,50.0,0.0,4.16666666667,25.0,33.3333333333,37.5,0.5,68
F8:A9:D0:2E:CF:05,23.0,0.0,0.0,17.3913043478,43.4782608696,21.7391304348,17.3913043478,0.281746031746,105
84:63:D6:22:6C:C0,23.0,0.0,0.0,13.0434782609,30.4347826087,17.3913043478,26.0869565217,0.25,23
00:0C:E7:A7:00:27,23.0,0.0,0.0,8.69565217391,52.1739130435,26.0869565217,13.0434782609,0.25,42
88:32:9B:CA:97:F4,23.0,0.0,0.0,17.3913043478,21.7391304348,30.4347826087,30.4347826087,0.25,55
2C:D2:E7:B3:87:3B,23.0,0.0,0.0,8.69565217391,39.1304347826,30.4347826087,21.7391304348,0.25,38
40:F3:08:EF:C2:E6,23.0,0.0,0.0,43.4782608696,21.7391304348,17.3913043478,8.69565217391,0.25,46
C4:07:2F:20:1C:2C,23.0,0.0,0.0,34.7826086957,21.7391304348,8.69565217391,26.0869565217,0.384408602151,62
A0:E4:53:62:E6:49,23.0,0.0,0.0,4.34782608696,43.4782608696,47.8260869565,4.34782608696,0.25,24
50:FC:9F:0E:44:93,23.0,0.0,0.0,13.0434782609,26.0869565217,21.7391304348,21.7391304348,0.25,80
BC:44:86:FB:51:22,23.0,0.0,0.0,39.1304347826,30.4347826087,26.0869565217,4.34782608696,0.25,64
A0:F4:19:22:A8:AF,22.0,0.0,0.0,4.54545454545,18.1818181818,27.2727272727,36.3636363636,0.25,46
04:4B:FF:09:F6:76,22.0,0.0,0.0,4.54545454545,18.1818181818,31.8181818182,45.4545454545,0.25,42
34:BB:26:C5:4A:08,22.0,0.0,0.0,9.09090909091,27.2727272727,36.3636363636,27.2727272727,0.25,66
64:5A:04:74:CD:42,22.0,0.0,0.0,27.2727272727,27.2727272727,36.3636363636,9.09090909091,0.25,95
60:BE:B5:75:65:8A,22.0,0.0,0.0,18.1818181818,40.9090909091,27.2727272727,13.6363636364,0.328125,64
34:BB:26:C5:AB:9A,22.0,0.0,0.0,9.09090909091,31.8181818182,50.0,9.09090909091,0.25,41
40:B0:FA:B4:2D:36,22.0,0.0,0.0,13.6363636364,77.2727272727,9.09090909091,0.0,0.25,48
